id	title	txt	datetime	source	web	batch
202005211602041	新加坡新增448例新冠肺炎确诊病例，累计近3万例	5月21日，新加坡卫生部宣布，截至当天中午12时新加坡新增448例新冠肺炎确诊病例，累计达29812例。新增病例中，大多数来自外籍劳工宿舍区，13例为新加坡公民和永久居民。（原题为《新加坡新增448例新冠肺炎确诊病例 累计达29812例》）(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)	2020-05-21 15:46	央视新闻	pp	20200521160204
202005211602042	外交部：中方坚决反对美售台武器，已向美方提出严正交涉	5月21日，外交部发言人赵立坚主持例行记者会。有记者就美国对台军售问题提问。赵立坚表示，中方坚决反对美售台武器，已向美方提出严正交涉。我们敦促美方切实恪守“一个中国”原则和中美三个联合公报规定，停止售台武器和美台军事联系，以免对中美关系和台海和平稳定造成进一步的损害。(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)	2020-05-21 15:44	澎湃新闻	pp	20200521160204
202005211602043	政协开幕会上一分钟默哀，源于在沪全国政协委员一份最短提案	全国政协十三届三次会议5月21日在北京开幕，开幕会上，全体委员起立，为抗击疫情牺牲的烈士和逝世同胞默哀。据记者了解，设立这一特殊议程环节，源于在沪全国政协委员的一份提案。值得一提的是，这份重要提案非常简短，正文只有115个字。这份来自冯丹龙委员的提案，最初提交于今年2月19日，标题为《关于在全国政协十三届三次会议开幕会默哀的提案》。不算标题的话，整篇提案只有115字，或许能算得上是“史上最短提案”。由于篇幅非常精炼，其内容也是非常直截明了——冯丹龙认为，为体现对生命的尊重，为了对在抗击疫情中牺牲的医护工作者和去世的群众表示哀悼，建议在全国政协十三届三次会议开幕上设立默哀环节。冯丹龙告诉记者，在提案提交后的第二天，她就收到了全国政协提案委员会办公室的短信答复。短信中说：“冯丹龙委员，根据全国政协领导同志指示要求，本着急事急办的原则，您提交的‘关于在全国政协十三届三次会议开幕会默哀的提案’，已转送全国政协办公厅。特向您报告。”之所以说是“急事急办”，是因为按照原计划，全国政协十三届三次会议将于今年3月3日召开。不过，就在冯丹龙的提案提交后的第5天，也就是2月24日，央视和人民日报都宣布，根据政协第十三届全国委员会主席会议的研究建议，本次全国政协大会确定推迟举行。之后，直到4月29日，政协第十三届全国委员会第三十五次主席会议经过研究，建议本次全国政协大会于5月21日在北京召开。政协会议召开时间最终确定后，很快，冯丹龙的提案就有了肯定的答复。5月6日，全国政协办公厅工作人员致电冯丹龙，向她确认，本次大会议程中将会安排一分钟默哀。对此，冯丹龙表示，对提案办理成果非常满意：“这体现了我们的党和政府对生命的尊重。”冯丹龙表示，这份115字的提案，是她两届政协委员生涯中最短、但也是最动情的一件提案。整个过程让她感觉到，政协提案的含金量不在于篇幅长短、字数多少，关键的是要为国是谋划，为民生建言。全国政协上一次在开幕会上设立默哀环节，是2014年的十二届二次会议。当时，全体与会人员，包括党和国家领导人，为在当年3月1日晚云南昆明火车站发生的严重暴力恐怖事件中遇难的群众默哀。那是政协历史上第一次为普通民众默哀。而今年所遭遇的这场新冠肺炎疫情防控斗争，则是中华民族伟大复兴历史征程中又一次前所未有的考验。庄严肃穆的默哀仪式，寄托着血浓于水的同胞之情，也昭示着慨然前行的奋发之志。（原题为：《政协开幕会上的一分钟默哀，源于在沪全国政协委员的一份115字“最短提案”》）(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)	2020-05-21 15:44	文汇报	pp	20200521160204
202005211602044	外交部回应特朗普涉中国言论：相信公道自在人心	5月21日，外交部发言人赵立坚主持例行记者会。有记者提问，澎湃新闻（www.thepaper.cn）记者提问，21日美国总统特朗普连发推特，指责中国的发言人散布虚假信息、拼命想要掩盖中国在全球范围内造成的痛苦和伤亡。中方对此有何回应？赵立坚回应，在抗击疫情的过程中，中国政府始终本着公开、透明、负责任态度。我们坚持用事实说话，摆的是事实，讲的是道理。谁全力以赴维护人民生命健康，尽己所能推动国际抗疫合作，相信公道自在人心，世人看得清楚。(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)	2020-05-21 15:44	澎湃新闻	pp	20200521160204
202005211602045	许家印：恒大1023个项目全部复工，复工人数78万人	“恒大从3月1日复工开始到现在，没有1人感染（新冠肺炎）。”在北京参加全国两会的全国政协委员、恒大集团董事局主席许家印在接受采访时说道，“恒大总共有1023个项目，需复工人数78万多人。我们从3月1日开始复工复产，到3月底有896个项目复工，复工人数达到68.7万，复工率达到88.2%。” 许家印称，到4月15日，恒大集团1023个项目全部复工，复工人数达到78万多人，100%全面复工复产。 在接受采访中，许家印表示，恒大从3月1日复工开始到现在主要做了四个方面的工作。 第一，恒大成立了疫情防控小组，许家印亲自担任组长。“明确每个项目的一把手为防疫专职责任人，采取设置观察隔离间、体温检测点、送诊专车等防疫措施，及时采购体温枪、口罩、消毒液等防疫物资，对办公室、食堂等定期定时进行全面消杀。”许家印说，“第二，精心策划组织人员返岗。返岗前对近14天的体温情况及往来史、接触史进行普查，采用包车点对点接送，确保返岗过程安全，并建立健康档案。” 第三，实施封闭管理。每个项目只设置一个出入口，由专人对进出项目的人员进行体温检测、实名登记；同时采用分散办公、错时用餐、视频会议等形式，减少人员聚集。第四，建立健全疫情上报及处置机制，有事报事，无事报平安。 在谈及新冠肺炎疫情对复工复产的影响时，许家印称，“在全面、认真做好疫情防控的情况下，可以大胆地复工复产。”(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)	2020-05-21 15:43	澎湃新闻	pp	20200521160204
202005211602046	全国政协常委会工作报告从六方面部署人民政协2020年工作	@新华视点5月21日消息，全国政协常委会工作报告从6个方面部署人民政协2020年工作：强化思想理论武装；紧扣全面建成小康社会目标任务履职尽责；做好大团结大联合工作；改进人民政协对外交往；深化人民政协理论研究；完善人民政协工作制度。(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)	2020-05-21 15:42	新华视点	pp	20200521160204
202005211602047	谷歌云与美国国防部签了一份新合约：帮助检测和应对网络威胁	谷歌云（Google Cloud）5月20日宣布，已经与美国国防部达成协议，帮助检测和应对网络威胁。据路透社报道，该交易使美国国防部国防创新部门（DIU）可以在包括谷歌云、亚马逊AWS、微软Azure在内的各种云服务平台上跨平台运行应用程序，同时通过谷歌云控制台（Google Cloud Console）进行管理。在线新闻网站Axios援引谷歌的回复称，该合同的价格可能是7位数。谷歌云此前曾经参与竞标美国国防部价值100亿美元的云计算合约，该合约普遍认为会授予亚马逊AWS，但最终由微软Azure获得。不过，该交易可能会使谷歌重陷争议。2018年，数千名谷歌员工签署联名信抗议，敦促谷歌退出与美国国防部的合约Project Maven，并有12名员工辞职以表明态度。Project Maven项目使用谷歌的人工智能技术分析美国国防部拍摄的卫星图像而引发争议，抗议的员工称，谷歌不应该参与“战争生意”。当时，前任谷歌云负责人曾向员工承诺，公司与美国国防部的合约Project Maven在2019年3月到期后将不会续签。谷歌在新闻稿中介绍，此次与美国国防部国防创新部门签订的新合约将专注于识别网络威胁。谷歌称，该系统将提供实时网络监控、访问控制和完整的审计追踪，使美国国防创新部能够维持严格的云安全状态，而不会影响速度和可靠性。(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)	2020-05-21 15:41	澎湃新闻	pp	20200521160204
202005211602048	谭平川代表：最低和完全负刑事责任年龄应降至十二、十四周岁	全国人大代表、重庆机场集团党委书记、董事长谭平川建议，推进个人信息保护立法，降低刑事责任年龄。 重庆机场集团 图未成年人犯罪低龄化引起越来越多的社会关注和担心。同时，在互联网时代背景下，公民个人信息被随意收集、擅自使用，造成个人信息大量泄漏。澎湃新闻（www.thepaper.cn）5月21日从重庆机场集团了解到，经履职调研后，全国人大代表，重庆机场集团党委书记、董事长谭平川提出，建议降低刑事责任年龄，将现行刑法中的最低刑事责任年龄从十四周岁降低到十二周岁，将完全负刑事责任的年龄从十六周岁调整为十四周岁，以更好地维护社会公平正义。同时，谭平川还建议加快推进个人信息保护立法。建议最低刑事责任年龄降至12周岁在《关于降低刑事责任年龄的建议》中，谭平川调研发现，一些手段残忍、影响恶劣的未成年犯罪，因行为人没有达到刑事责任年龄而未得到应有的惩处。行为人因未受到惩处而再次犯罪，甚至恶性犯罪的情况，也屡见不鲜。这不但对受害人不公平，对群众也不公平。从世界范围看，未成年人犯罪作为世界性难题，各国规定的最低刑事责任年龄也不尽一致：如墨西哥为9岁，荷兰、加拿大等为12岁，法国为13岁；美国没有对最低刑事责任年龄统一规定，由各州自行设定，从7岁(俄克拉荷马州)至15岁(得克萨斯州)不等。谭平川表示，《民法总则》已将无民事行为能力人的年龄上限由“不满10岁”调整为“不满8岁”。虽然民事与刑事行为能力不同，但两者有共同的基础和依据，这为刑事责任行为能力划分、降低刑事责任年龄提供了参照和依据。加之未成年人犯罪低龄化，已成为难以回避的残酷现实。因此，降低刑事责任年龄是非常有必要的。谭平川建议，将我国现行刑法中的最低刑事责任年龄从十四周岁降低到十二周岁，即已满12周岁但不满14周岁的未成年人有触犯刑法规定的八项重罪（故意杀人、故意伤害致人重伤或死亡、强奸、抢劫、贩卖毒品、放火、爆炸、投放危险物质罪）的，应当负刑事责任。同时，将完全负刑事责任的年龄从十六周岁调整为十四周岁，即已满14周岁不满16周岁的未成年人，要对自己的所有犯罪行为承担刑事责任。加快推进个人信息保护立法谭平川在日常履职中发现，个人信息安全目前面临三个现实问题。首先，个人信息被过度收集，老百姓合法权益被侵害。APP违规收集个人信息、过度索权等侵害用户权益问题突出。其次，个人信息被非法滥用，电话频繁骚扰，影响老百姓日常生活。中国消费者协会2018年组织了“APP个人信息泄露情况”问卷调查，85.2%的受访者表示遭遇过APP个人信息泄露情况。2018年7月，工信部等13部门联合印发《综合整治骚扰电话专项行动方案》，但骚扰电话仍然屡禁不止，甚至技术手段还在不断升级，根源还在于个人信息被肆无忌惮地收集和滥用。这反映了当前骚扰电话治理的严峻性。再次，个人信息保护的法律规定较为分散，缺乏整体性。据不完全统计，目前大概有40部法律、30余部法规，以及近200部规章涉及个人信息保护。但有关个人信息保护的法律分散在与具体行业相关的法律、法规和行政规章中。分散立法造成相关保护条款内容不集中、适用范围相对狭窄等问题。谭平川在《关于进一步加强骚扰电话整治，加快推进个人信息保护立法的建议》中表示，《个人信息保护法》已列入十三届全国人大常委会立法规划，但目前还处于研究论证阶段。他建议，进一步加快推进个人信息保护立法，通过专门的《个人信息保护法》，将公民个人信息保护范围、保护方式、相关主体、责任追究等作出明确规定，让个人隐私不再“裸奔”。同时，谭平川还建议国家相关部委作为治理主体，联合行动，综合整治，进一步加强行业商业营销规范管理，“一对一”对“卖房骚扰”“金融骚扰”“保险骚扰”“保健食品骚扰”等进行源头治理。建议工信部牵头，进一步严格规范电信运营商运营，让骚扰电话无路可走。(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)	2020-05-21 15:34	澎湃新闻	pp	20200521160204
202005211602049	章伟民代表：创新展会模式不应是线下线上移位，更多是互补	中国国际进口博览会（以下简称“进博会”）已成功举办两届，无论从展览规模、参与人数、成交效果等，都实现了“越办越好”的目标。全国人大代表章伟民建议，要将“进博会”打造成国际采购交易的平台、贸易投资促进的平台、人文交流学习的平台和世界开放合作的平台，需要进一步深化和挖掘。具体而言，作为国际采购交易的平台，进博会不仅要完善产品结构，更要注重从量到质的提升；作为贸易投资促进平台，需要进一步完善营商环境，改进贸易投资便利化措施；作为人文交流学习平台，需要围绕文化、旅游、教育、体育等做好文章；作为世界开放合作平台，要有“海乃百川，有容乃大”的胸襟与气魄，开展更广泛、更深入的各项合作。他建议，进博会要打造成为国际采购交易、贸易投资促进、人文交流学习和世界开放合作等“四位一体”的大平台，要以开放为核心，推进进博会一体化发展建设。在做好现有虹桥国际经济论坛、“进博会”非遗等工作的基础上，积极深入研究，开拓创新。首先，结合“四位一体”大平台建设，加紧“进博会”多维度的思考和布局。如在货物贸易和服务贸易的基础上，融入文化、旅游、教育、体育等各方面的需求与合作。其次，整合资源，齐心协力，共同打造“四位一体”大平台。进博会不仅是商务交流，更应是理念交流，国家各部委都需要出谋划策，积极参与，将进博会作为重要的切入点与着力点。第三，围绕“四位一体”大平台建设，进一步探索制度创新。从第一届进博会筹备开始，各相关单位都为进博会顺利举办做了大量的制度创新工作，如海关商检的各项便利化措施等。但这些措施主要还是针对贸易，要打造“四位一体”大平台，还需多维度的制度创新。除了对推进进博会一体化发展建言，章伟民对疫情倒逼展会服务模式创新也有建议。目前，疫情在世界范围仍呈蔓延态势，作为人群聚集性活动的展会，需要寻找新出路。章伟民认为，创新展会服务模式不应是展会简单的线下线上移位，而更是线下线上的互补；不是简单的将线下复制到线上，更应发挥好会展市场主体、政府职能部门、相关行业协会等三方面的协同作用。因此，章伟民建议，强化展会的分类管理与实施。对于“B2B展会”，建议在做好防疫工作的前提下，适度放开。对于“B2C展会”，要积极鼓励线上开展，减少人流密集的困扰，降低风险。他还建议，制定政策鼓励办展主体创新。在线展览和线下展览的融合将是必然趋势，通过“在线”形式推动贸易促进，也能实现会展的核心商业价值。引导线上、线下融合，鼓励会展主办方成为365天的价值创造者。(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)	2020-05-21 15:34	澎湃新闻	pp	20200521160204
2020052116020410	绿地回应高管被举报：确存不正当男女关系，若贪腐绝不姑息	5月21日，就绿地集团高管被举报与已婚女性存在不正当男女关系、严重经济问题一事。绿地集团调查显示，确实存在举报所指不正当男女关系，经济违纪问题查实后绝不姑息。	2020-05-21 15:33	澎湃新闻	pp	20200521160204
